date_reform,hourly_energy
2022052208,22.0
2022052209,64.0
2022052210,117.0080032
2022052211,173.0079956
2022052212,241.0079956
2022052213,305.0079956
2022052214,373.0079956
2022052215,436.0
2022052216,450.9920044
2022052217,458.0
2022052218,458.9920044
2022052219,458.9920044
2022052220,458.9920044
2022052221,458.9920044
2022052222,458.9920044
2022052223,458.9920044
2022052300,0.0
2022052301,0.0
2022052302,0.0
2022052303,0.0
2022052304,0.0
2022052305,0.0
2022052306,0.0
2022052307,3.007999897
2022052308,23.00799942
2022052309,62.01599884
2022052310,108.0
2022052311,137.0079956
2022052312,170.0160065
2022052313,234.0160065
2022052314,258.0159912
2022052315,284.0
2022052316,299.0079956
2022052317,302.0159912
2022052318,302.0159912
2022052319,302.0159912
2022052320,302.0159912
2022052321,302.0159912
2022052322,302.0159912
2022052323,302.0159912
2022052400,0.0
2022052401,0.0
2022052402,0.0
2022052403,0.0
2022052404,0.0
2022052405,0.0
2022052406,0.0
2022052407,4.0
2022052408,20.99200058
2022052409,60.0
2022052410,121.9840012
2022052411,186.9920044
2022052412,262.9920044
2022052413,337.9840088
2022052414,408.0
2022052415,468.9920044
2022052416,510.9920044
2022052417,514.9920044
2022052418,516.0
2022052419,516.0
2022052420,516.0
2022052421,516.0
2022052422,516.0
2022052423,516.0
2022052500,0.0
2022052501,0.0
2022052502,0.0
2022052503,0.0
2022052504,0.0
2022052505,0.0
2022052506,0.0
2022052507,1.983999968
2022052508,22.99200058
2022052509,64.99199677
2022052510,122.9919968
2022052511,196.0
2022052512,245.9839935
2022052513,306.9920044
2022052514,337.9840088
2022052515,338.9920044
2022052516,340.0
2022052517,344.0
2022052518,345.9840088
2022052519,345.9840088
2022052520,345.9840088
2022052521,345.9840088
2022052522,345.9840088
2022052523,345.9840088
2022052600,0.0
2022052601,0.0
2022052602,0.0
2022052603,0.0
2022052604,0.0
2022052605,0.0
2022052606,0.0
2022052607,3.007999897
2022052608,18.01600075
2022052609,52.0
2022052610,111.0080032
2022052611,185.0079956
2022052612,244.0
2022052613,306.0159912
2022052614,360.0
2022052615,392.0
2022052616,419.0079956
2022052617,438.0159912
2022052618,449.0079956
2022052619,450.0159912
2022052620,450.0159912
2022052621,450.0159912
2022052622,450.0159912
2022052623,450.0159912
2022052700,0.0
2022052701,0.0
2022052702,0.0
2022052703,0.0
2022052704,0.0
2022052705,0.0
2022052706,0.0
2022052707,2.992000103
2022052708,28.0
2022052709,70.99199677
2022052710,124.0
2022052711,172.0
2022052712,245.9839935
2022052713,312.9920044
2022052714,366.9920044
2022052715,408.0
2022052716,420.9920044
2022052717,432.0
2022052718,434.9920044
2022052719,434.9920044
2022052720,434.9920044
2022052721,434.9920044
2022052722,434.9920044
2022052723,434.9920044
2022052800,0.0
2022052801,0.0
2022052802,0.0
2022052803,0.0
2022052804,0.0
2022052805,0.0
2022052806,0.0
2022052807,2.0
2022052808,18.99200058
2022052809,62.0
2022052810,121.0080032
2022052811,170.0
2022052812,225.0079956
2022052813,286.9920044
2022052814,338.0
2022052815,394.9920044
2022052816,434.9920044
2022052817,458.0
2022052818,465.0079956
2022052819,465.0079956
2022052820,465.0079956
2022052821,465.0079956
2022052822,465.0079956
2022052823,465.0079956
2022052900,0.0
2022052901,0.0
2022052902,0.0
2022052903,0.0
2022052904,0.0
2022052905,0.0
2022052906,0.0
2022052907,0.991999984
2022052908,17.98399925
2022052909,57.98400116
2022052910,113.9840012
2022052911,184.0
2022052912,260.9920044
2022052913,328.9920044
2022052914,400.9920044
2022052915,462.9920044
2022052916,512.9920044
2022052917,536.0
2022052918,544.0
2022052919,544.0
2022052920,544.0
2022052921,544.0
2022052922,544.0
2022052923,544.0
2022053000,0.0
2022053001,0.0
2022053002,0.0
2022053003,0.0
2022053004,0.0
2022053005,0.0
2022053006,0.0
2022053007,1.983999968
2022053008,21.98399925
2022053009,62.99200058
2022053010,117.9840012
2022053011,172.9920044
2022053012,220.0
2022053013,260.9920044
2022053014,294.9920044
2022053015,312.0
2022053016,334.9920044
2022053017,349.9840088
2022053018,356.0
2022053019,356.0
2022053020,356.0
2022053021,356.0
2022053022,356.0
2022053023,356.0
2022053100,0.0
2022053101,0.0
2022053102,0.0
2022053103,0.0
2022053104,0.0
2022053105,0.0
2022053106,0.0
2022053107,1.983999968
2022053108,20.99200058
2022053109,60.99200058
2022053110,100.0
2022053111,148.9920044
2022053112,196.0
2022053113,228.0
2022053114,276.0
2022053115,300.9920044
2022053116,313.9840088
2022053117,325.9840088
2022053118,326.9920044
2022053119,326.9920044
2022053120,326.9920044
2022053121,326.9920044
2022053122,326.9920044
2022053123,326.9920044
2022060100,0.0
2022060101,0.0
2022060102,0.0
2022060103,0.0
2022060104,0.0
2022060105,0.0
2022060106,0.0
2022060107,2.0
2022060108,22.0
2022060109,61.00799942
2022060110,84.0
2022060111,117.0080032
2022060112,133.0079956
2022060113,148.0
2022060114,166.9920044
2022060115,202.0
2022060116,226.9920044
2022060117,242.0
2022060118,246.0
2022060119,246.0
2022060120,246.0
2022060121,246.0
2022060122,246.0
2022060123,246.0
2022060200,0.0
2022060201,0.0
2022060202,0.0
2022060203,0.0
2022060204,0.0
2022060205,0.0
2022060206,0.0
2022060207,0.0
2022060208,8.991999626
2022060209,42.0
2022060210,74.0
2022060211,142.0
2022060212,218.0
2022060213,248.9920044
2022060214,291.0079956
2022060215,308.9920044
2022060216,327.0079956
2022060217,335.0079956
2022060218,336.9920044
2022060219,336.9920044
2022060220,336.9920044
2022060221,336.9920044
2022060222,336.9920044
2022060223,336.9920044
2022060300,0.0
2022060301,0.0
2022060302,0.0
2022060303,0.0
2022060304,0.0
2022060305,0.0
2022060306,0.0
2022060307,1.008000016
2022060308,8.0
2022060309,11.00800037
2022060310,14.01599979
2022060311,24.0
2022060312,54.01599884
2022060313,94.01599884
2022060314,139.0079956
2022060315,169.0079956
2022060316,190.0160065
2022060317,202.0160065
2022060318,210.0160065
2022060319,211.0079956
2022060320,211.0079956
2022060321,211.0079956
2022060322,211.0079956
2022060323,211.0079956
2022060400,0.0
2022060401,0.0
2022060402,0.0
2022060403,0.0
2022060404,0.0
2022060405,0.0
2022060406,0.0
2022060407,0.991999984
2022060408,4.992000103
2022060409,16.0
2022060410,51.00799942
2022060411,124.9919968
2022060412,200.9920044
2022060413,278.0
2022060414,330.0
2022060415,390.0
2022060416,435.0079956
2022060417,452.9920044
2022060418,456.9920044
2022060419,456.9920044
2022060420,456.9920044
2022060421,456.9920044
2022060422,456.9920044
2022060423,456.9920044
2022060500,0.0
2022060501,0.0
2022060502,0.0
2022060503,0.0
2022060504,0.0
2022060505,0.0
2022060506,0.0
2022060507,2.016000032
2022060508,22.01600075
2022060509,60.0
2022060510,116.0
2022060511,173.0079956
2022060512,224.0
2022060513,236.0
2022060514,247.0079956
2022060515,265.0079956
2022060516,280.0
2022060517,285.0079956
2022060518,288.0
2022060519,288.0
2022060520,288.0
2022060521,288.0
2022060522,288.0
2022060523,288.0
2022060600,0.0
2022060601,0.0
2022060602,0.0
2022060603,0.0
2022060604,0.0
2022060605,0.0
2022060606,0.0
2022060607,0.0
2022060608,8.0
2022060609,32.0
2022060610,75.00800323
2022060611,141.0079956
2022060612,211.0079956
2022060613,282.0159912
2022060614,347.0079956
2022060615,372.0
2022060616,416.0
2022060617,435.0079956
2022060618,436.0
2022060619,436.0
2022060620,436.0
2022060621,436.0
2022060622,436.0
2022060623,436.0
2022060700,0.0
2022060701,0.0
2022060702,0.0
2022060703,0.0
2022060704,0.0
2022060705,0.0
2022060706,0.0
2022060707,1.008000016
2022060708,6.015999794
2022060709,17.00799942
2022060710,48.0
2022060711,106.0159988
2022060712,125.0080032
2022060713,145.0079956
2022060714,166.0160065
2022060715,186.0160065
2022060716,207.0079956
2022060717,222.0160065
2022060718,234.0160065
2022060719,234.0160065
2022060720,234.0160065
2022060721,234.0160065
2022060722,234.0160065
2022060723,234.0160065
2022060800,0.0
2022060801,0.0
2022060802,0.0
2022060803,0.0
2022060804,0.0
2022060805,0.0
2022060806,0.0
2022060807,1.983999968
2022060808,20.99200058
2022060809,58.99200058
2022060810,116.9919968
2022060811,178.9920044
2022060812,245.9839935
2022060813,292.0
2022060814,334.9920044
2022060815,370.9920044
2022060816,404.0
2022060817,406.9920044
2022060818,412.0
2022060819,412.0
2022060820,412.0
2022060821,412.0
2022060822,412.0
2022060823,412.0
2022060900,0.0
2022060901,0.0
2022060902,0.0
2022060903,0.0
2022060904,0.0
2022060905,0.0
2022060906,0.0
2022060907,1.983999968
2022060908,22.99200058
2022060909,48.99200058
2022060910,84.99199677
2022060911,122.9919968
2022060912,168.0
2022060913,209.9839935
2022060914,232.9920044
2022060915,260.9920044
2022060916,280.9920044
2022060917,294.9920044
2022060918,296.0
2022060919,296.0
2022060920,296.0
2022060921,296.0
2022060922,296.0
2022060923,296.0
2022061000,0.0
2022061001,0.0
2022061002,0.0
2022061003,0.0
2022061004,0.0
2022061005,0.0
2022061006,0.0
2022061007,1.983999968
2022061008,20.99200058
2022061009,52.0
2022061010,100.9919968
2022061011,148.9920044
2022061012,205.9839935
2022061013,265.9840088
2022061014,336.0
2022061015,380.0
2022061016,401.9840088
2022061017,401.9840088
2022061018,402.9920044
2022061019,402.9920044
2022061020,402.9920044
2022061021,402.9920044
2022061022,402.9920044
2022061023,402.9920044
2022061100,0.0
2022061101,0.0
2022061102,0.0
2022061103,0.0
2022061104,0.0
2022061105,0.0
2022061106,0.0
2022061107,2.992000103
2022061108,20.0
2022061109,66.99199677
2022061110,129.0079956
2022061111,185.0079956
2022061112,229.0079956
2022061113,289.0079956
2022061114,333.0079956
2022061115,356.0
2022061116,361.0079956
2022061117,364.0
2022061118,365.0079956
2022061119,365.0079956
2022061120,365.0079956
2022061121,365.0079956
2022061122,365.0079956
2022061123,365.0079956
2022061200,0.0
2022061201,0.0
2022061202,0.0
2022061203,0.0
2022061204,0.0
2022061205,0.0
2022061206,0.0
2022061207,1.983999968
2022061208,12.99199963
2022061209,41.98400116
2022061210,72.0
2022061211,93.98400116
2022061212,124.0
2022061213,146.9920044
2022061214,165.9839935
2022061215,190.9920044
2022061216,216.9920044
2022061217,226.9920044
2022061218,228.9920044
2022061219,228.9920044
2022061220,228.9920044
2022061221,228.9920044
2022061222,228.9920044
2022061223,228.9920044
2022061300,0.0
2022061301,0.0
2022061302,0.0
2022061303,0.0
2022061304,0.0
2022061305,0.0
2022061306,0.0
2022061307,3.007999897
2022061308,20.0
2022061309,48.0
2022061310,108.9919968
2022061311,176.9920044
2022061312,238.0
2022061313,290.0
2022061314,300.0
2022061315,308.9920044
2022061316,314.0
2022061317,322.0
2022061318,330.0
2022061319,330.0
2022061320,330.0
2022061321,330.0
2022061322,330.0
2022061323,330.0
2022061400,0.0
2022061401,0.0
2022061402,0.0
2022061403,0.0
2022061404,0.0
2022061405,0.0
2022061406,0.0
2022061407,1.008000016
2022061408,2.992000103
2022061409,16.0
2022061410,58.0
2022061411,118.0
2022061412,174.9920044
2022061413,252.0
2022061414,302.0
2022061415,364.0
2022061416,400.0
2022061417,420.0
2022061418,425.0079956
2022061419,425.0079956
2022061420,425.0079956
2022061421,425.0079956
2022061422,425.0079956
2022061423,425.0079956
